ID_DIA,ID_LOJA,ID_POS,NOME_LOJA,DESC_STORE2,ZONA_REGION,DESC_REGIAO,DESC_CITY,MORADA,UNIDAD_DE_NEGOCIO,VALOR_PV,TOTAL_TRANSACCIONES_SIN_CLIENTE,TOTAL_TRANSACCIONES_CLIENTE_ID,TOTAL_TRANSACCIONES_CLIENTE_FE,TOTAL_TRANSACCIONES_CLIENTE_EMPLEADO,TOTAL_TRANSACCIONES_CLIENTE_FIADO,CLIENTE_OK,CLIENTE_ERRADO,TOTAL_POS,TOTAL_TRANSACCIONES_CON_CLIENTE,COBERTURA_ID,COBERTURA_NO_ID,COBERTURA_ERRADOS,TOTAL_ACUMULADO,TOTAL_ID_ACUMULADO,COBERTURA_TOTAL_ID
2024-02-28,0752,001,FONSECA TRONCAL CALLE 13,FONSECA TRONCAL C13,NORTE,REGION 10,Fonseca,CL 13 # 15-75,BdC,19650693.25770308,17,189,0,3,1,178,10,210,193,0.919047619047619,0.08095238095238096,0.047619047619047616,19531,10316,0.528185960780298
2024-02-28,0752,002,FONSECA TRONCAL CALLE 13,FONSECA TRONCAL C13,NORTE,REGION 10,Fonseca,CL 13 # 15-75,BdC,15890707.011204481,33,215,1,1,1,191,20,251,218,0.8685258964143426,0.13147410358565736,0.0796812749003984,19531,10316,0.528185960780298
2024-02-28,0832,002,CUCUTA CENABASTOS,CUCUTA CENABASTOS,CENTRO,REGION 11,Cucuta,LT A CORR EL SALADO,BdC,1152020.0952380951,41,7,0,0,0,5,2,48,7,0.14583333333333334,0.8541666666666666,0.041666666666666664,19531,10316,0.528185960780298
2024-02-28,1117,001,RIONEGRO MERCADO CENTRO,RIONEGRO MERCADO CEN,ANTIOQUIA,REGION 9,Rionegro,CL 55 # 43-75,BdC,955187.2521008403,10,16,0,1,0,15,1,27,17,0.6296296296296297,0.37037037037037035,0.037037037037037035,19531,10316,0.528185960780298
2024-02-28,0840,003,PALMIRA MERCADO,PALMIRA MERCADO,OCCIDENTE,REGION 8,Palmira,CR 26 #28-25 L8,BdC,7053228.033613445,4,11,0,0,0,9,2,15,11,0.7333333333333333,0.26666666666666666,0.13333333333333333,19531,10316,0.528185960780298
2024-02-28,1117,003,RIONEGRO MERCADO CENTRO,RIONEGRO MERCADO CEN,ANTIOQUIA,REGION 9,Rionegro,CL 55 # 43-75,BdC,14778718.36694678,35,47,0,1,0,44,3,83,48,0.5783132530120482,0.42168674698795183,0.03614457831325301,19531,10316,0.528185960780298
2024-02-28,0840,002,PALMIRA MERCADO,PALMIRA MERCADO,OCCIDENTE,REGION 8,Palmira,CR 26 #28-25 L8,BdC,1584881.943977591,8,34,0,0,0,31,2,42,34,0.8095238095238095,0.19047619047619047,0.047619047619047616,19531,10316,0.528185960780298
2024-02-28,0798,003,PIEDECUESTA PIEDECUESTA,PIEDECUESTA,CENTRO,REGION 11,Piedecuesta,CR 8 #8-53 /83,BdC,9574702.582633054,97,88,1,1,0,73,12,187,90,0.48128342245989303,0.5187165775401069,0.06417112299465241,19531,10316,0.528185960780298
2024-02-28,1148,002,RIOSUCIO MERCADO,RIOSUCIO MERCADO,OCCIDENTE,REGION 1,Riosucio,CL 12 # 5-50,BdC,5875143.445378152,23,106,0,5,0,98,11,134,111,0.8283582089552238,0.17164179104477612,0.08208955223880597,19531,10316,0.528185960780298
2024-02-28,1038,001,SAN JOSE DE GUAVIARE MCDO LA E,SAN JOSE DE GUAVIARE,CENTRO,REGION 3,San Jose del Guaviar,CR 20 #10-63,BdC,13230016.0,98,73,1,0,0,65,7,172,74,0.43023255813953487,0.5697674418604651,0.040697674418604654,19531,10316,0.528185960780298
